id,state,destination,year,month,season,purpose_of_visit,visitor_type,number_of_visitors,avg_stay_days,avg_spend_inr,accommodation_type,transport_mode,rating_out_of_5
498,Uttar Pradesh,Mathura,2021,April,Autumn,Adventure,Foreign,19883,2.9,41125,Homestay,Car,2
499,Gujarat,Ahmedabad,2025,August,Winter,Business,Domestic,32821,2.4,46079,Guesthouse,Flight,4
500,West Bengal,Kalimpong,2021,September,Winter,Pilgrimage,Domestic,2445,5.1,69964,Houseboat,Train,1
501,West Bengal,Kolkata,2023,June,Winter,Wellness,Domestic,43237,7.7,4446,Hostel,Flight,5
502,Karnataka,Coorg,2022,May,Summer,Business,Domestic,28958,7.0,37237,Homestay,Bike,2
503,Uttar Pradesh,Agra,2023,September,Spring,Leisure,Domestic,23008,5.9,37027,Guesthouse,Flight,2
504,Sikkim,Pelling,2021,May,Winter,Pilgrimage,Domestic,3374,2.2,63200,Guesthouse,Bus,1
505,Madhya Pradesh,Khajuraho,2023,July,Autumn,Adventure,Foreign,41302,8.5,59936,Resort,Bike,5
506,West Bengal,Kalimpong,2024,February,Spring,Business,Domestic,6139,8.3,62877,Camp,Car,1
507,West Bengal,Siliguri,2022,April,Autumn,Heritage,Foreign,40481,3.3,49138,Resort,Train,4
508,Punjab,Ludhiana,2023,January,Autumn,Heritage,Domestic,31418,5.2,23887,Hotel,Car,3
509,Bihar,Vaishali,2024,February,Spring,Pilgrimage,Domestic,42612,1.6,41099,Hostel,Flight,5
510,Madhya Pradesh,Ujjain,2025,October,Summer,Wildlife,Domestic,31662,4.5,46158,Resort,Bike,2
511,Jammu and Kashmir,Sonmarg,2025,September,Monsoon,Wellness,Domestic,43933,1.7,65283,Houseboat,Train,1
512,Bihar,Rajgir,2024,February,Spring,Family,Domestic,26644,1.6,15753,Camp,Car,5
513,Punjab,Patiala,2022,April,Winter,Leisure,Foreign,49528,6.7,1524,Camp,Train,2
514,Andhra Pradesh,Kakinada,2023,October,Autumn,Honeymoon,Domestic,44713,8.9,40786,Guesthouse,Car,5
515,Jammu and Kashmir,Leh,2023,October,Winter,Family,Foreign,26539,8.6,40059,Hotel,Bike,1
516,Assam,Guwahati,2024,June,Spring,Leisure,Foreign,15466,4.9,53177,Hotel,Bus,3
517,Madhya Pradesh,Pachmarhi,2022,April,Spring,Wildlife,Domestic,12385,6.0,48723,Houseboat,Train,4
518,West Bengal,Siliguri,2022,January,Summer,Pilgrimage,Domestic,31946,6.9,19296,Hotel,Flight,1
519,Jammu and Kashmir,Sonmarg,2022,October,Autumn,Wellness,Domestic,36229,8.4,51925,Resort,Car,3
520,Tamil Nadu,Madurai,2023,October,Winter,Wellness,Domestic,17695,4.7,73087,Hostel,Train,5
521,Kerala,Munnar,2024,December,Autumn,Wellness,Domestic,45302,1.7,70497,Homestay,Flight,3
522,Odisha,Puri,2025,February,Spring,Backpacking,Domestic,43548,9.6,11734,Resort,Car,5
523,West Bengal,Sundarbans,2023,September,Monsoon,Leisure,Domestic,33647,9.2,44952,Camp,Flight,4
524,West Bengal,Kalimpong,2022,December,Winter,Pilgrimage,Domestic,36993,3.3,63518,Guesthouse,Bus,5
525,Sikkim,Gangtok,2022,January,Spring,Honeymoon,Domestic,33184,1.7,37918,Homestay,Car,3
526,Bihar,Nalanda,2022,January,Monsoon,Honeymoon,Domestic,38832,7.7,60043,Houseboat,Flight,3
527,Uttar Pradesh,Prayagraj,2022,March,Autumn,Business,Foreign,22518,9.9,20514,Camp,Bike,5
528,Telangana,Ramoji Film City,2021,November,Summer,Wildlife,Domestic,48177,8.6,8620,Hostel,Train,3
529,Kerala,Alleppey,2024,August,Autumn,Heritage,Domestic,49361,9.3,32126,Homestay,Car,4
530,Telangana,Nagarjunsagar,2021,July,Spring,Pilgrimage,Foreign,29463,4.4,42877,Hotel,Bus,5
531,Himachal Pradesh,Spiti,2024,October,Autumn,Family,Domestic,17553,8.2,34968,Houseboat,Bus,5
532,Andhra Pradesh,Lepakshi,2021,April,Spring,Business,Domestic,11841,3.8,2886,Guesthouse,Bus,1
533,Rajasthan,Jaisalmer,2021,February,Spring,Adventure,Domestic,47580,3.5,26807,Houseboat,Car,1
534,Bihar,Patna,2025,November,Spring,Leisure,Foreign,41867,2.1,17225,Camp,Train,1
535,Uttarakhand,Mussoorie,2023,February,Summer,Wellness,Domestic,30652,6.9,11424,Houseboat,Train,4
536,Jammu and Kashmir,Leh,2023,March,Monsoon,Family,Domestic,4138,4.4,45101,Camp,Flight,1
537,Uttar Pradesh,Varanasi,2024,August,Winter,Heritage,Domestic,42352,5.4,20357,Resort,Bike,5
538,Karnataka,Chikmagalur,2021,December,Autumn,Adventure,Domestic,4664,6.1,34346,Homestay,Flight,4
539,Telangana,Warangal,2024,November,Winter,Leisure,Domestic,21665,9.1,1985,Hostel,Bus,5
540,Telangana,Ramoji Film City,2025,September,Winter,Wildlife,Domestic,45221,8.4,64685,Resort,Flight,1
541,Assam,Majuli,2022,July,Monsoon,Family,Domestic,22336,1.7,61745,Hotel,Flight,3
542,Tamil Nadu,Mahabalipuram,2021,November,Autumn,Leisure,Domestic,7047,6.7,48589,Resort,Bus,4
543,Andhra Pradesh,Lepakshi,2025,January,Summer,Business,Domestic,38909,3.1,52456,Resort,Flight,1
544,West Bengal,Digha,2025,January,Autumn,Backpacking,Domestic,47302,1.4,16991,Hotel,Bus,2
545,Andhra Pradesh,Lepakshi,2024,December,Summer,Backpacking,Foreign,2466,7.6,65580,Guesthouse,Train,1
546,Bihar,Patna,2021,January,Summer,Business,Foreign,6426,5.1,23872,Resort,Flight,5
547,Himachal Pradesh,Shimla,2021,October,Spring,Heritage,Foreign,27982,4.0,54192,Resort,Flight,3
548,Sikkim,Namchi,2024,April,Monsoon,Pilgrimage,Domestic,22037,1.6,37399,Camp,Flight,2
549,Tamil Nadu,Rameswaram,2021,March,Spring,Family,Foreign,2717,2.2,50800,Hostel,Train,2
550,Telangana,Hyderabad,2022,March,Winter,Leisure,Foreign,27327,7.2,63891,Hotel,Bike,2
551,Uttarakhand,Jim Corbett,2025,August,Spring,Honeymoon,Foreign,40062,7.2,25093,Hostel,Train,4
552,Goa,Margao,2023,July,Monsoon,Honeymoon,Domestic,7750,9.9,14041,Hotel,Bike,5
553,Assam,Jorhat,2024,November,Autumn,Business,Domestic,12745,2.0,21058,Houseboat,Train,4
554,Tamil Nadu,Ooty,2021,November,Winter,Leisure,Domestic,16524,4.0,60894,Homestay,Bus,1
555,Kerala,Thekkady,2022,January,Summer,Pilgrimage,Domestic,15470,7.5,44225,Hostel,Bike,4
556,Punjab,Chandigarh,2024,April,Monsoon,Adventure,Domestic,13154,4.4,30422,Hotel,Train,1
557,Sikkim,Yumthang,2023,March,Autumn,Leisure,Domestic,25434,4.4,61496,Resort,Bike,2
558,Uttar Pradesh,Varanasi,2024,January,Summer,Family,Domestic,8995,2.0,62518,Houseboat,Bike,4
559,Tamil Nadu,Kodaikanal,2024,October,Monsoon,Business,Foreign,37937,9.7,31607,Resort,Bike,1
560,Odisha,Chilika Lake,2023,August,Spring,Business,Domestic,47892,4.9,33829,Camp,Car,2
561,Jammu and Kashmir,Jammu,2021,March,Spring,Business,Domestic,2948,1.4,63189,Guesthouse,Flight,5
562,Jammu and Kashmir,Jammu,2022,December,Autumn,Wildlife,Domestic,15812,1.7,3128,Camp,Flight,4
563,Uttarakhand,Nainital,2025,November,Summer,Honeymoon,Domestic,20027,2.5,61699,Hotel,Flight,5
564,Rajasthan,Jaisalmer,2024,December,Summer,Heritage,Domestic,24325,6.6,1678,Hostel,Train,1
565,Punjab,Bathinda,2025,July,Monsoon,Leisure,Domestic,40190,5.9,28651,Camp,Bus,1
566,Punjab,Jalandhar,2023,November,Spring,Leisure,Domestic,24009,5.2,6857,Homestay,Flight,3
567,Tamil Nadu,Rameswaram,2025,September,Winter,Backpacking,Domestic,21999,3.1,16384,Houseboat,Train,4
568,Karnataka,Gokarna,2024,June,Monsoon,Business,Domestic,18212,1.5,50365,Homestay,Bike,3
569,Telangana,Bhongir,2023,August,Winter,Backpacking,Domestic,34971,9.1,60741,Houseboat,Bike,5
570,Goa,South Goa,2022,February,Winter,Heritage,Domestic,5092,2.0,37668,Hostel,Train,1
571,Telangana,Warangal,2023,November,Spring,Business,Domestic,44771,5.9,18805,Hotel,Bus,4
572,Jammu and Kashmir,Sonmarg,2024,April,Monsoon,Leisure,Foreign,15275,8.5,69607,Hotel,Flight,3
573,Sikkim,Lachung,2022,October,Autumn,Family,Foreign,29230,5.1,18795,Houseboat,Bike,3
574,Uttar Pradesh,Varanasi,2022,May,Monsoon,Heritage,Domestic,18687,5.1,23305,Camp,Flight,5
575,Assam,Majuli,2022,December,Summer,Pilgrimage,Domestic,7712,1.4,43000,Houseboat,Train,5
576,Andhra Pradesh,Araku Valley,2022,April,Summer,Family,Domestic,22584,2.3,60276,Guesthouse,Flight,5
577,Assam,Majuli,2023,July,Winter,Adventure,Foreign,21035,2.4,73084,Hostel,Train,5
578,West Bengal,Digha,2021,November,Spring,Honeymoon,Domestic,29023,4.0,16221,Resort,Bike,4
579,Uttarakhand,Jim Corbett,2021,May,Winter,Backpacking,Domestic,14491,5.0,13621,Hotel,Car,3
580,Bihar,Gaya,2025,September,Spring,Business,Domestic,5528,5.8,59887,Resort,Bus,1
581,Madhya Pradesh,Bhopal,2023,October,Monsoon,Heritage,Foreign,43747,4.2,20891,Guesthouse,Bike,4
582,Madhya Pradesh,Indore,2024,June,Monsoon,Leisure,Foreign,36817,1.8,59724,Homestay,Bus,4
583,West Bengal,Darjeeling,2023,March,Autumn,Wildlife,Domestic,9463,2.9,63708,Camp,Bike,5
584,Goa,Anjuna,2022,January,Winter,Wildlife,Domestic,36475,5.2,19447,Hostel,Bus,2
585,Madhya Pradesh,Indore,2021,January,Autumn,Backpacking,Foreign,19967,5.4,62245,Camp,Bus,2
586,Rajasthan,Udaipur,2024,November,Monsoon,Honeymoon,Domestic,43691,9.0,56177,Camp,Car,2
587,Maharashtra,Mumbai,2024,August,Monsoon,Adventure,Domestic,38130,5.3,58656,Hotel,Bike,3
588,Himachal Pradesh,Dharamshala,2023,January,Spring,Backpacking,Domestic,3884,2.3,61929,Camp,Bus,2
589,Tamil Nadu,Chennai,2022,July,Monsoon,Honeymoon,Domestic,19164,5.8,11569,Houseboat,Bus,5
590,Tamil Nadu,Chennai,2021,September,Summer,Wellness,Foreign,44940,8.2,37080,Homestay,Bus,3
591,Assam,Jorhat,2022,January,Summer,Family,Domestic,31828,4.7,22868,Resort,Bike,1
592,Uttarakhand,Auli,2024,September,Summer,Business,Foreign,46747,6.0,16437,Guesthouse,Bike,4
593,Goa,North Goa,2022,August,Winter,Pilgrimage,Domestic,9160,8.4,70066,Homestay,Bus,3
594,West Bengal,Kolkata,2024,March,Summer,Adventure,Domestic,20197,2.1,18567,Camp,Train,1
595,Himachal Pradesh,Shimla,2021,July,Autumn,Leisure,Domestic,43289,5.6,9268,Hotel,Train,4
596,Uttar Pradesh,Agra,2023,November,Monsoon,Adventure,Domestic,39489,2.8,27717,Hotel,Flight,2
597,Rajasthan,Jaipur,2025,October,Monsoon,Pilgrimage,Domestic,32859,8.0,33196,Homestay,Bus,5
598,Goa,North Goa,2021,September,Winter,Wellness,Foreign,11307,9.1,71902,Resort,Train,1
599,Karnataka,Chikmagalur,2024,December,Monsoon,Heritage,Domestic,7083,2.6,48007,Guesthouse,Train,4
600,Karnataka,Chikmagalur,2023,February,Autumn,Business,Domestic,7279,5.7,66487,Camp,Bus,3
601,Assam,Tezpur,2022,June,Winter,Leisure,Domestic,29996,6.4,42395,Hostel,Flight,4
602,Assam,Sivasagar,2021,April,Autumn,Honeymoon,Foreign,31223,9.5,49661,Camp,Flight,2
603,Telangana,Medak,2021,August,Autumn,Adventure,Domestic,25924,4.6,14832,Guesthouse,Flight,2
604,Gujarat,Rann of Kutch,2025,October,Summer,Family,Domestic,27883,7.5,38005,Camp,Car,5
605,Uttar Pradesh,Prayagraj,2021,August,Monsoon,Wildlife,Foreign,31804,5.6,20816,Houseboat,Bike,4
606,Himachal Pradesh,Dharamshala,2021,April,Autumn,Heritage,Domestic,48402,1.5,10442,Houseboat,Train,4
607,Tamil Nadu,Madurai,2024,March,Monsoon,Wellness,Domestic,49868,1.7,69650,Homestay,Bike,4
608,Karnataka,Coorg,2021,September,Autumn,Heritage,Domestic,35474,5.9,5641,Homestay,Bike,4
609,Madhya Pradesh,Pachmarhi,2024,August,Autumn,Family,Domestic,36531,6.9,41220,Hostel,Flight,2
610,Jammu and Kashmir,Gulmarg,2024,August,Autumn,Honeymoon,Domestic,32198,6.9,72199,Camp,Flight,5
611,Telangana,Bhongir,2023,January,Spring,Pilgrimage,Domestic,24809,6.6,47737,Hostel,Bus,3
612,Kerala,Munnar,2021,March,Winter,Wellness,Domestic,48681,6.3,46229,Camp,Bus,4
613,Jammu and Kashmir,Pahalgam,2023,June,Autumn,Family,Domestic,42522,3.8,12633,Hotel,Train,1
614,Himachal Pradesh,Dharamshala,2021,September,Winter,Pilgrimage,Domestic,27737,6.1,56703,Homestay,Flight,3
615,Telangana,Bhongir,2023,July,Monsoon,Leisure,Domestic,6454,8.3,14614,Guesthouse,Car,2
616,Telangana,Bhongir,2022,October,Summer,Family,Foreign,13272,5.5,11372,Homestay,Bus,5
617,West Bengal,Kalimpong,2023,October,Monsoon,Leisure,Domestic,6076,7.5,13916,Hostel,Train,5
618,Uttar Pradesh,Agra,2023,August,Spring,Wellness,Domestic,5074,6.9,41063,Hostel,Train,5
619,Jammu and Kashmir,Leh,2021,April,Monsoon,Backpacking,Domestic,33825,5.1,73270,Hostel,Car,2
620,Odisha,Bhubaneswar,2021,April,Autumn,Wellness,Domestic,41857,5.8,58349,Houseboat,Car,5
621,Odisha,Bhubaneswar,2021,March,Autumn,Family,Domestic,19728,8.6,55273,Resort,Train,3
622,Karnataka,Hampi,2022,November,Monsoon,Honeymoon,Domestic,15525,4.7,16384,Resort,Bus,2
623,Rajasthan,Udaipur,2021,August,Autumn,Honeymoon,Domestic,2475,2.8,37244,Guesthouse,Car,2
624,Uttar Pradesh,Lucknow,2023,November,Summer,Backpacking,Foreign,31890,8.0,8751,Camp,Flight,1
625,Bihar,Nalanda,2025,June,Autumn,Adventure,Domestic,47513,8.6,32438,Houseboat,Flight,1
626,Odisha,Puri,2025,September,Spring,Backpacking,Foreign,15652,6.4,42579,Homestay,Car,3
627,Madhya Pradesh,Gwalior,2021,April,Autumn,Business,Domestic,18042,5.0,34832,Resort,Flight,5
628,Telangana,Bhongir,2024,June,Winter,Family,Domestic,16194,9.7,20493,Guesthouse,Car,3
629,Gujarat,Dwarka,2023,January,Spring,Leisure,Domestic,44063,3.2,73947,Camp,Flight,4
630,Gujarat,Vadodara,2021,April,Spring,Adventure,Domestic,25804,9.3,34993,Camp,Car,3
631,Maharashtra,Lonavala,2021,August,Summer,Business,Foreign,42283,4.7,5940,Houseboat,Bus,3
632,Telangana,Ramoji Film City,2024,December,Monsoon,Wildlife,Foreign,45825,3.3,10198,Hostel,Flight,3
633,Bihar,Gaya,2021,August,Monsoon,Backpacking,Domestic,42083,6.8,59617,Houseboat,Flight,2
634,Madhya Pradesh,Bhopal,2024,October,Monsoon,Honeymoon,Domestic,33890,7.4,18551,Hotel,Flight,5
635,Punjab,Patiala,2022,May,Summer,Heritage,Foreign,18517,2.8,55828,Resort,Bike,3
636,Madhya Pradesh,Pachmarhi,2022,January,Summer,Wellness,Domestic,41116,3.1,13162,Hotel,Bike,4
637,Uttar Pradesh,Prayagraj,2025,July,Winter,Pilgrimage,Domestic,9831,1.8,49724,Guesthouse,Car,2
638,Himachal Pradesh,Shimla,2024,August,Autumn,Backpacking,Domestic,46814,2.8,36391,Camp,Car,3
639,Madhya Pradesh,Bhopal,2021,October,Summer,Wildlife,Domestic,12460,4.8,55046,Resort,Bus,2
640,West Bengal,Kalimpong,2022,August,Spring,Business,Domestic,42467,5.1,2852,Resort,Bus,4
641,Punjab,Jalandhar,2021,December,Summer,Wildlife,Domestic,16842,1.7,74507,Hostel,Car,1
642,Punjab,Chandigarh,2024,October,Monsoon,Heritage,Domestic,3032,1.0,67631,Houseboat,Bike,5
643,West Bengal,Digha,2022,September,Summer,Family,Domestic,11182,5.5,45956,Hotel,Bike,4
644,Goa,Panaji,2024,March,Autumn,Backpacking,Domestic,8430,5.5,38331,Homestay,Flight,3
645,West Bengal,Kalimpong,2025,September,Monsoon,Wellness,Foreign,20729,7.6,65892,Homestay,Car,2
646,Andhra Pradesh,Vizag,2021,January,Summer,Business,Domestic,17104,2.5,62728,Resort,Train,4
647,Telangana,Hyderabad,2023,December,Monsoon,Heritage,Domestic,7422,8.6,20905,Guesthouse,Car,1
648,Goa,South Goa,2021,March,Summer,Honeymoon,Foreign,36962,9.0,29339,Houseboat,Bike,5
649,Odisha,Cuttack,2023,February,Autumn,Pilgrimage,Domestic,21588,1.2,17489,Resort,Car,4
650,Sikkim,Gangtok,2021,January,Summer,Family,Foreign,43273,5.3,36800,Hotel,Car,5
651,Punjab,Amritsar,2021,June,Autumn,Wellness,Domestic,3240,8.2,38587,Houseboat,Bike,3
652,Goa,Anjuna,2024,February,Autumn,Wellness,Domestic,26193,1.8,28792,Hostel,Bus,2
653,Madhya Pradesh,Indore,2021,May,Winter,Pilgrimage,Domestic,20372,9.1,18708,Hostel,Car,3
654,Gujarat,Gir,2025,August,Autumn,Business,Domestic,39393,4.8,56882,Hostel,Car,3
655,Tamil Nadu,Madurai,2025,January,Winter,Wildlife,Foreign,44381,3.0,21825,Guesthouse,Bus,4
656,Odisha,Puri,2025,July,Autumn,Honeymoon,Domestic,8424,7.2,40875,Hotel,Car,2
657,Jammu and Kashmir,Pahalgam,2025,September,Winter,Wellness,Domestic,33516,4.8,13884,Hotel,Flight,4
658,Uttar Pradesh,Lucknow,2024,February,Spring,Honeymoon,Domestic,48580,7.0,25034,Camp,Bike,2
659,Kerala,Munnar,2022,June,Monsoon,Wildlife,Domestic,29537,6.6,36243,Guesthouse,Car,3
660,Karnataka,Mysuru,2022,May,Spring,Adventure,Domestic,1224,1.1,16793,Camp,Flight,1
661,Telangana,Ramoji Film City,2021,December,Spring,Wildlife,Domestic,40468,4.2,53273,Hostel,Bus,3
662,Uttarakhand,Haridwar,2022,February,Summer,Leisure,Domestic,12385,8.7,28924,Camp,Flight,4
663,Maharashtra,Mahabaleshwar,2024,February,Summer,Backpacking,Domestic,27698,1.2,23271,Homestay,Car,2
664,Telangana,Ramoji Film City,2024,October,Autumn,Leisure,Domestic,25722,1.5,2532,Resort,Train,1
665,Jammu and Kashmir,Sonmarg,2021,December,Spring,Wellness,Domestic,26243,5.4,65450,Guesthouse,Bus,2
666,Odisha,Puri,2024,June,Spring,Wildlife,Domestic,42537,4.8,63541,Guesthouse,Flight,1
667,Bihar,Gaya,2022,December,Autumn,Family,Domestic,47642,2.7,46568,Hostel,Flight,4
668,Odisha,Bhubaneswar,2023,October,Monsoon,Wellness,Domestic,19277,7.5,52666,Camp,Car,4
669,Telangana,Warangal,2024,May,Summer,Wellness,Domestic,8510,2.6,21988,Houseboat,Flight,5
670,Himachal Pradesh,Kasol,2022,April,Monsoon,Heritage,Domestic,1238,4.2,35684,Resort,Bike,3
671,Tamil Nadu,Mahabalipuram,2023,June,Winter,Leisure,Domestic,7959,6.1,65248,Hostel,Flight,3
672,Gujarat,Ahmedabad,2021,March,Monsoon,Backpacking,Domestic,6875,7.4,58886,Camp,Bike,4
673,Himachal Pradesh,Spiti,2022,September,Winter,Wellness,Domestic,41332,2.1,28420,Hotel,Bike,3
674,West Bengal,Siliguri,2022,August,Spring,Heritage,Domestic,23887,4.0,19558,Houseboat,Flight,1
675,Andhra Pradesh,Vijayawada,2022,August,Summer,Leisure,Domestic,5635,3.4,55896,Homestay,Bus,3
676,Uttarakhand,Auli,2021,March,Summer,Wildlife,Domestic,26874,9.1,69153,Camp,Car,3
677,Andhra Pradesh,Tirupati,2022,February,Spring,Leisure,Domestic,10819,4.9,53046,Hotel,Bus,1
678,Sikkim,Gangtok,2023,July,Monsoon,Backpacking,Foreign,47337,7.7,46609,Hostel,Bike,1
679,Odisha,Cuttack,2024,August,Autumn,Pilgrimage,Foreign,40968,8.1,59452,Houseboat,Train,3
680,Karnataka,Coorg,2023,September,Winter,Adventure,Domestic,48550,8.9,69719,Homestay,Car,5
681,Karnataka,Bengaluru,2023,May,Spring,Backpacking,Domestic,10537,1.2,72270,Guesthouse,Bus,5
682,Maharashtra,Lonavala,2021,February,Spring,Wildlife,Foreign,17073,6.6,47961,Houseboat,Flight,1
683,Himachal Pradesh,Kasol,2022,December,Spring,Honeymoon,Domestic,15522,8.2,71399,Hotel,Car,5
684,Gujarat,Dwarka,2022,November,Spring,Honeymoon,Domestic,16278,1.9,69192,Resort,Car,5
685,Gujarat,Somnath,2022,December,Summer,Adventure,Domestic,4125,4.8,18547,Hostel,Car,4
686,Andhra Pradesh,Vizag,2024,July,Spring,Family,Domestic,25922,8.8,66882,Guesthouse,Bike,4
687,Telangana,Medak,2021,March,Summer,Wildlife,Domestic,30046,2.2,68764,Guesthouse,Train,5
688,Karnataka,Hampi,2021,December,Winter,Heritage,Domestic,7833,6.4,55058,Resort,Bike,1
689,Gujarat,Gir,2022,September,Winter,Honeymoon,Domestic,24590,3.7,65191,Resort,Flight,1
690,Uttarakhand,Auli,2023,May,Winter,Wildlife,Domestic,48524,5.4,17533,Homestay,Train,5
691,Goa,North Goa,2022,October,Autumn,Wildlife,Domestic,22189,8.0,63789,Homestay,Bike,5
692,Uttarakhand,Auli,2022,November,Autumn,Heritage,Foreign,21363,1.8,55190,Hostel,Train,4
693,Madhya Pradesh,Indore,2021,November,Winter,Backpacking,Domestic,10903,7.4,41981,Hostel,Bus,5
694,Assam,Guwahati,2021,September,Spring,Business,Foreign,34243,2.7,63868,Guesthouse,Flight,5
695,Himachal Pradesh,Dalhousie,2025,January,Summer,Backpacking,Domestic,46293,8.6,59726,Homestay,Train,1
696,Bihar,Nalanda,2024,January,Spring,Wildlife,Domestic,11879,4.7,70693,Hostel,Flight,3
697,Uttar Pradesh,Agra,2024,September,Winter,Adventure,Domestic,16798,7.9,21714,Resort,Bus,3
698,Tamil Nadu,Chennai,2023,March,Monsoon,Wellness,Domestic,6521,3.9,55609,Hotel,Flight,3
699,Madhya Pradesh,Khajuraho,2021,April,Summer,Leisure,Domestic,32357,5.6,67615,Camp,Bike,4
700,Uttar Pradesh,Agra,2025,September,Autumn,Family,Domestic,26755,6.7,3940,Hostel,Flight,3
701,Sikkim,Ravangla,2022,September,Summer,Adventure,Domestic,26706,5.0,67092,Houseboat,Train,2
702,Gujarat,Gir,2021,September,Summer,Pilgrimage,Domestic,115,8.3,39412,Hostel,Bike,2
703,Kerala,Wayanad,2021,May,Spring,Honeymoon,Foreign,41482,2.9,68389,Camp,Car,3
704,Tamil Nadu,Rameswaram,2024,February,Spring,Backpacking,Domestic,8109,8.5,74438,Homestay,Flight,3
705,Karnataka,Chikmagalur,2023,November,Monsoon,Backpacking,Foreign,46433,5.1,33734,Homestay,Bus,3
706,Karnataka,Hampi,2022,January,Monsoon,Wellness,Domestic,184,6.5,2060,Houseboat,Train,1
707,Jammu and Kashmir,Jammu,2024,September,Autumn,Heritage,Domestic,44064,5.0,17676,Hotel,Flight,3
708,Bihar,Nalanda,2023,December,Summer,Wildlife,Domestic,12697,5.0,30535,Hotel,Flight,1
709,Gujarat,Rann of Kutch,2024,November,Spring,Adventure,Domestic,32412,9.7,6322,Homestay,Train,3
710,Bihar,Bodh Gaya,2022,November,Summer,Leisure,Foreign,37346,5.5,23844,Hostel,Flight,5
711,Sikkim,Ravangla,2023,March,Spring,Wellness,Domestic,4313,2.1,31379,Hotel,Bike,5
712,Karnataka,Gokarna,2024,October,Spring,Leisure,Foreign,178,9.4,8297,Homestay,Bike,3
713,Jammu and Kashmir,Pahalgam,2023,August,Spring,Adventure,Domestic,2898,9.0,30931,Hostel,Bus,1
714,Jammu and Kashmir,Jammu,2021,January,Monsoon,Heritage,Domestic,37524,8.3,31073,Hostel,Train,4
715,Maharashtra,Pune,2022,May,Monsoon,Pilgrimage,Domestic,28358,8.3,45317,Hotel,Flight,3
716,Himachal Pradesh,Kasol,2024,January,Monsoon,Business,Domestic,15565,9.5,58978,Camp,Bus,1
717,Sikkim,Gangtok,2024,January,Winter,Adventure,Foreign,45490,1.6,18216,Hostel,Bus,1
718,Kerala,Kochi,2025,February,Autumn,Wellness,Domestic,19377,8.6,54149,Hotel,Flight,1
719,Jammu and Kashmir,Gulmarg,2021,January,Spring,Wellness,Domestic,28106,8.9,14774,Hostel,Car,3
720,Andhra Pradesh,Kakinada,2022,April,Spring,Family,Domestic,46796,1.6,26877,Hotel,Flight,5
721,Odisha,Konark,2022,August,Autumn,Family,Domestic,15985,2.2,7276,Houseboat,Bike,1
722,West Bengal,Sundarbans,2023,November,Spring,Wildlife,Domestic,35514,8.0,20821,Camp,Bus,4
723,Bihar,Nalanda,2021,January,Monsoon,Honeymoon,Domestic,9526,1.5,67967,Guesthouse,Bike,5
724,Jammu and Kashmir,Pahalgam,2023,November,Summer,Business,Domestic,43818,5.3,62763,Resort,Flight,5
725,Sikkim,Namchi,2022,May,Spring,Family,Domestic,29823,8.9,7030,Hostel,Bus,4
726,Rajasthan,Mount Abu,2022,August,Summer,Business,Domestic,48191,7.9,44952,Guesthouse,Train,4
727,Madhya Pradesh,Bhopal,2025,January,Monsoon,Leisure,Domestic,7599,2.3,59225,Hotel,Bus,2
728,Gujarat,Ahmedabad,2022,April,Summer,Leisure,Domestic,17220,7.5,46040,Homestay,Train,5
729,Tamil Nadu,Ooty,2022,May,Summer,Leisure,Foreign,9044,4.4,16044,Hotel,Flight,3
730,West Bengal,Digha,2022,June,Monsoon,Business,Foreign,40892,8.9,10069,Houseboat,Train,1
731,Uttarakhand,Haridwar,2025,July,Spring,Business,Domestic,28200,9.8,33553,Houseboat,Bus,1
732,Sikkim,Pelling,2024,March,Monsoon,Backpacking,Domestic,18404,8.9,68119,Homestay,Train,5
733,Karnataka,Gokarna,2024,November,Autumn,Adventure,Domestic,25485,7.8,68236,Guesthouse,Flight,3
734,Odisha,Chilika Lake,2025,December,Monsoon,Pilgrimage,Domestic,46950,9.6,63596,Homestay,Bike,3
735,Madhya Pradesh,Gwalior,2024,April,Winter,Wellness,Domestic,15410,4.6,41607,Resort,Train,4
736,Sikkim,Pelling,2025,September,Monsoon,Family,Domestic,19386,5.0,47581,Hotel,Train,2
737,Kerala,Wayanad,2023,June,Spring,Backpacking,Domestic,26851,4.3,66713,Hostel,Car,3
738,Madhya Pradesh,Khajuraho,2025,April,Autumn,Pilgrimage,Domestic,5451,3.7,67267,Homestay,Flight,5
739,Goa,Panaji,2023,February,Winter,Business,Domestic,13177,4.0,44654,Hotel,Bus,3
740,Uttar Pradesh,Varanasi,2024,December,Summer,Wellness,Foreign,609,7.9,38442,Houseboat,Bike,3
741,Madhya Pradesh,Ujjain,2022,November,Autumn,Leisure,Foreign,14964,3.0,29008,Guesthouse,Train,4
742,Odisha,Cuttack,2024,December,Autumn,Backpacking,Domestic,5677,3.8,26121,Camp,Car,4
743,Karnataka,Hampi,2023,January,Spring,Heritage,Domestic,8461,3.8,2768,Homestay,Train,4
744,Punjab,Chandigarh,2021,November,Autumn,Wildlife,Domestic,45303,5.8,44239,Camp,Car,5
745,Sikkim,Gangtok,2024,June,Summer,Pilgrimage,Foreign,37659,8.8,51480,Guesthouse,Bike,2
746,Goa,Anjuna,2022,August,Summer,Wildlife,Domestic,29641,6.8,41430,Hotel,Bus,1
747,Himachal Pradesh,Dalhousie,2022,January,Summer,Backpacking,Domestic,12285,2.8,52079,Camp,Bike,3
